Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
,,,,,,,,,7 runs 4 hits 1 error 0 LOB. Red Sox 8 Angels 0.,7 runs 4 hits 1 error 0 LOB. Red Sox 8 Angels 0.,7 runs 4 hits 1 error 0 LOB. Red Sox 8 Angels 0.
Bottom of the 4th Angels Batting Behind 0-8 Red Sox' Curt Schilling facing 5-6-7,Bottom of the 4th Angels Batting Behind 0-8 Red Sox' Curt Schilling facing 5-6-7,Bottom of the 4th Angels Batting Behind 0-8 Red Sox' Curt Schilling facing 5-6-7,,Bottom of the 4th Angels Batting Behind 0-8 Red Sox' Curt Schilling facing 5-6-7,Bottom of the 4th Angels Batting Behind 0-8 Red Sox' Curt Schilling facing 5-6-7,Bottom of the 4th Angels Batting Behind 0-8 Red Sox' Curt Schilling facing 5-6-7,Bottom of the 4th Angels Batting Behind 0-8 Red Sox' Curt Schilling facing 5-6-7,Bottom of the 4th Angels Batting Behind 0-8 Red Sox' Curt Schilling facing 5-6-7,Bottom of the 4th Angels Batting Behind 0-8 Red Sox' Curt Schilling facing 5-6-7,Bottom of the 4th Angels Batting Behind 0-8 Red Sox' Curt Schilling facing 5-6-7,Bottom of the 4th Angels Batting Behind 0-8 Red Sox' Curt Schilling facing 5-6-7
b4,0-8,0,"['', '', '']",2(0-1) CX,R,ANA,T. Glaus,C. Schilling,-2%,96%,Home Run (Fly Ball)
b4,1-8,0,"['', '', '']",4(1-2) FFBX,O,ANA,J. DaVanon,C. Schilling,1%,97%,Groundout: 1B-P
b4,1-8,1,"['', '', '']",6(3-2) BCFBBX,O,ANA,B. Molina,C. Schilling,0%,97%,Groundout: SS-1B
b4,1-8,2,"['', '', '']",4(1-2) CBFX,O,ANA,D. Eckstein,C. Schilling,0%,98%,Foul Popfly: 3B (3B Foul)
,,,,,,,,,1 run 1 hit 0 errors 0 LOB. Red Sox 8 Angels 1.,1 run 1 hit 0 errors 0 LOB. Red Sox 8 Angels 1.,1 run 1 hit 0 errors 0 LOB. Red Sox 8 Angels 1.
Top of the 5th Red Sox Batting Ahead 8-1 Angels' Scot Shields facing 5-6-7,Top of the 5th Red Sox Batting Ahead 8-1 Angels' Scot Shields facing 5-6-7,Top of the 5th Red Sox Batting Ahead 8-1 Angels' Scot Shields facing 5-6-7,,Top of the 5th Red Sox Batting Ahead 8-1 Angels' Scot Shields facing 5-6-7,Top of the 5th Red Sox Batting Ahead 8-1 Angels' Scot Shields facing 5-6-7,Top of the 5th Red Sox Batting Ahead 8-1 Angels' Scot Shields facing 5-6-7,Top of the 5th Red Sox Batting Ahead 8-1 Angels' Scot Shields facing 5-6-7,Top of the 5th Red Sox Batting Ahead 8-1 Angels' Scot Shields facing 5-6-7,Top of the 5th Red Sox Batting Ahead 8-1 Angels' Scot Shields facing 5-6-7,Top of the 5th Red Sox Batting Ahead 8-1 Angels' Scot Shields facing 5-6-7,Top of the 5th Red Sox Batting Ahead 8-1 Angels' Scot Shields facing 5-6-7
t5,8-1,0,"['', '', '']",3(2-0) BBX,O,BOS,K. Millar,S. Shields,-0%,97%,Groundout: 1B unassisted
t5,8-1,1,"['', '', '']",3(0-2) FSS,O,BOS,J. Varitek,S. Shields,-0%,97%,Strikeout Swinging (C-1B)
t5,8-1,2,"['', '', '']",4(3-0) BBBB,,BOS,O. Cabrera,S. Shields,0%,97%,Walk
t5,8-1,2,"['Cabrera', '', '']",1(0-0) X,O,BOS,B. Mueller,S. Shields,-0%,97%,Flyball: CF
,,,,,,,,,0 runs 0 hits 0 errors 1 LOB. Red Sox 8 Angels 1.,0 runs 0 hits 0 errors 1 LOB. Red Sox 8 Angels 1.,0 runs 0 hits 0 errors 1 LOB. Red Sox 8 Angels 1.
Bottom of the 5th Angels Batting Behind 1-8 Red Sox' Curt Schilling facing 9-1-2,Bottom of the 5th Angels Batting Behind 1-8 Red Sox' Curt Schilling facing 9-1-2,Bottom of the 5th Angels Batting Behind 1-8 Red Sox' Curt Schilling facing 9-1-2,,Bottom of the 5th Angels Batting Behind 1-8 Red Sox' Curt Schilling facing 9-1-2,Bottom of the 5th Angels Batting Behind 1-8 Red Sox' Curt Schilling facing 9-1-2,Bottom of the 5th Angels Batting Behind 1-8 Red Sox' Curt Schilling facing 9-1-2,Bottom of the 5th Angels Batting Behind 1-8 Red Sox' Curt Schilling facing 9-1-2,Bottom of the 5th Angels Batting Behind 1-8 Red Sox' Curt Schilling facing 9-1-2,Bottom of the 5th Angels Batting Behind 1-8 Red Sox' Curt Schilling facing 9-1-2,Bottom of the 5th Angels Batting Behind 1-8 Red Sox' Curt Schilling facing 9-1-2,Bottom of the 5th Angels Batting Behind 1-8 Red Sox' Curt Schilling facing 9-1-2
