Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
,,,,,,,,,,,
Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3,Top of the 1st Cardinals Batting Tied 0-0 Dodgers' Jose Lima facing 1-2-3
b3,0-0,0,"['', '', '']",4(1-2) CBSH,,LAD,A. Cora,M. Morris,4%,59%,Hit By Pitch
b3,0-0,0,"['Cora', '', '']",5(2-2) CBB>F1X,,LAD,B. Mayne,M. Morris,10%,69%,Single to CF (Line Drive); Cora to 3B
b3,0-0,0,"['Mayne', '', 'Cora']",2(1-0) BX,,LAD,J. Lima,M. Morris,4%,73%,Fielder's Choice P/Sacrifice Bunt; Mayne to 2B
b3,0-0,0,"['Lima', 'Mayne', 'Cora']",5(1-2) BFCFX,O,LAD,C. Izturis,M. Morris,-7%,66%,Flyball: LF
b3,0-0,1,"['Lima', 'Mayne', 'Cora']",5(2-2) BBFFX,O,LAD,J. Werth,M. Morris,-8%,58%,Foul Popfly: 1B (1B Foul)
b3,0-0,2,"['Lima', 'Mayne', 'Cora']",2(0-1) FX,RR,LAD,S. Finley,M. Morris,19%,78%,Double to LF (Line Drive); Cora Scores; Mayne Scores; Lima to 3B
b3,2-0,2,"['', 'Finley', 'Lima']",3(0-2) FFS,O,LAD,A. Beltre,M. Morris,-4%,73%,Strikeout Swinging
,,,,,,,,,2 runs 2 hits 0 errors 2 LOB. Cardinals 0 Dodgers 2.,2 runs 2 hits 0 errors 2 LOB. Cardinals 0 Dodgers 2.,2 runs 2 hits 0 errors 2 LOB. Cardinals 0 Dodgers 2.
Top of the 4th Cardinals Batting Behind 0-2 Dodgers' Jose Lima facing 2-3-4,Top of the 4th Cardinals Batting Behind 0-2 Dodgers' Jose Lima facing 2-3-4,Top of the 4th Cardinals Batting Behind 0-2 Dodgers' Jose Lima facing 2-3-4,,Top of the 4th Cardinals Batting Behind 0-2 Dodgers' Jose Lima facing 2-3-4,Top of the 4th Cardinals Batting Behind 0-2 Dodgers' Jose Lima facing 2-3-4,Top of the 4th Cardinals Batting Behind 0-2 Dodgers' Jose Lima facing 2-3-4,Top of the 4th Cardinals Batting Behind 0-2 Dodgers' Jose Lima facing 2-3-4,Top of the 4th Cardinals Batting Behind 0-2 Dodgers' Jose Lima facing 2-3-4,Top of the 4th Cardinals Batting Behind 0-2 Dodgers' Jose Lima facing 2-3-4,Top of the 4th Cardinals Batting Behind 0-2 Dodgers' Jose Lima facing 2-3-4,Top of the 4th Cardinals Batting Behind 0-2 Dodgers' Jose Lima facing 2-3-4
t4,0-2,0,"['', '', '']",1(0-0) X,O,STL,L. Walker,J. Lima,3%,76%,Foul Popfly: 3B (3B Foul)
t4,0-2,1,"['', '', '']",2(1-0) BX,O,STL,A. Pujols,J. Lima,2%,78%,Flyball: CF
