Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 6th Braves Batting Behind 2-5 Astros' Chad Qualls facing 4-5-6,Top of the 6th Braves Batting Behind 2-5 Astros' Chad Qualls facing 4-5-6,Top of the 6th Braves Batting Behind 2-5 Astros' Chad Qualls facing 4-5-6,,Top of the 6th Braves Batting Behind 2-5 Astros' Chad Qualls facing 4-5-6,Top of the 6th Braves Batting Behind 2-5 Astros' Chad Qualls facing 4-5-6,Top of the 6th Braves Batting Behind 2-5 Astros' Chad Qualls facing 4-5-6,Top of the 6th Braves Batting Behind 2-5 Astros' Chad Qualls facing 4-5-6,Top of the 6th Braves Batting Behind 2-5 Astros' Chad Qualls facing 4-5-6,Top of the 6th Braves Batting Behind 2-5 Astros' Chad Qualls facing 4-5-6,Top of the 6th Braves Batting Behind 2-5 Astros' Chad Qualls facing 4-5-6,Top of the 6th Braves Batting Behind 2-5 Astros' Chad Qualls facing 4-5-6
,,,,,,,,,Chad Qualls replaces Roger Clemens pitching and batting 9th,Chad Qualls replaces Roger Clemens pitching and batting 9th,Chad Qualls replaces Roger Clemens pitching and batting 9th
t6,2-5,0,"______, ______, ______",3(0-2) .SSX,,ATL,C. Jones,C. Qualls,4%,18%,Single to CF (Line Drive)
t6,2-5,0,"C. Jones, ______, ______",3(0-2) CFS,O,ATL,J. Estrada,C. Qualls,-4%,14%,Strikeout Swinging
t6,2-5,1,"C. Jones, ______, ______",2(0-1) CX,,ATL,A. Jones,C. Qualls,9%,23%,Double to LF (Line Drive); C. A. Jones to 3B
t6,2-5,1,"______, ______, A. Jones",1(0-0) X,RRR,ATL,A. LaRoche,C. Qualls,23%,47%,Home Run (Fly Ball to CF-RF); C. A. Jones Scores; C. A. Jones Scores
t6,5-5,1,"______, ______, ______",2(1-0) BX,O,ATL,E. Marrero,C. Qualls,-3%,44%,Groundout: P-1B
,,,,,,,,,Charles Thomas pinch hits for Kevin Gryboski (P) batting 9th,Charles Thomas pinch hits for Kevin Gryboski (P) batting 9th,Charles Thomas pinch hits for Kevin Gryboski (P) batting 9th
t6,5-5,2,"______, ______, ______",2(1-0) .BX,O,ATL,C. Thomas,C. Qualls,-2%,42%,Groundout: 2B-1B
,,,,,,,,,3 runs 3 hits 0 errors 0 LOB. Braves 5 Astros 5.,3 runs 3 hits 0 errors 0 LOB. Braves 5 Astros 5.,3 runs 3 hits 0 errors 0 LOB. Braves 5 Astros 5.
Bottom of the 6th Astros Batting Tied 5-5 Braves' Antonio Alfonseca facing 7-8-9,Bottom of the 6th Astros Batting Tied 5-5 Braves' Antonio Alfonseca facing 7-8-9,Bottom of the 6th Astros Batting Tied 5-5 Braves' Antonio Alfonseca facing 7-8-9,,Bottom of the 6th Astros Batting Tied 5-5 Braves' Antonio Alfonseca facing 7-8-9,Bottom of the 6th Astros Batting Tied 5-5 Braves' Antonio Alfonseca facing 7-8-9,Bottom of the 6th Astros Batting Tied 5-5 Braves' Antonio Alfonseca facing 7-8-9,Bottom of the 6th Astros Batting Tied 5-5 Braves' Antonio Alfonseca facing 7-8-9,Bottom of the 6th Astros Batting Tied 5-5 Braves' Antonio Alfonseca facing 7-8-9,Bottom of the 6th Astros Batting Tied 5-5 Braves' Antonio Alfonseca facing 7-8-9,Bottom of the 6th Astros Batting Tied 5-5 Braves' Antonio Alfonseca facing 7-8-9,Bottom of the 6th Astros Batting Tied 5-5 Braves' Antonio Alfonseca facing 7-8-9
,,,,,,,,,Antonio Alfonseca replaces Eli Marrero (LF) pitching and batting 8thCharles Thomas moves from PH to LF,Antonio Alfonseca replaces Eli Marrero (LF) pitching and batting 8thCharles Thomas moves from PH to LF,Antonio Alfonseca replaces Eli Marrero (LF) pitching and batting 8thCharles Thomas moves from PH to LF
b6,5-5,0,"______, ______, ______",1(0-0) ..X,O,HOU,J. Vizcaino,A. Alfonseca,3%,46%,Lineout: CF
b6,5-5,1,"______, ______, ______",5(3-1) BFBBB,,HOU,B. Ausmus,A. Alfonseca,-4%,42%,Walk
,,,,,,,,,Mike Lamb pinch hits for Chad Qualls (P) batting 9th,Mike Lamb pinch hits for Chad Qualls (P) batting 9th,Mike Lamb pinch hits for Chad Qualls (P) batting 9th
b6,5-5,1,"B. Ausmus, ______, ______",3(1-1) .BFX,O,HOU,M. Lamb,A. Alfonseca,4%,46%,Flyball: LF
b6,5-5,2,"B. Ausmus, ______, ______",4(2-1) BBCX,,HOU,C. Biggio,A. Alfonseca,-3%,44%,Single to SS (Ground Ball); B. Ausmus to 2B
b6,5-5,2,"C. Biggio, B. Ausmus, ______",2(1-0) BX,O,HOU,C. Beltran,A. Alfonseca,6%,50%,Flyball: RF
,,,,,,,,,0 runs 1 hit 0 errors 2 LOB. Braves 5 Astros 5.,0 runs 1 hit 0 errors 2 LOB. Braves 5 Astros 5.,0 runs 1 hit 0 errors 2 LOB. Braves 5 Astros 5.
Top of the 7th Braves Batting Tied 5-5 Astros' Mike Gallo facing 1-2-3,Top of the 7th Braves Batting Tied 5-5 Astros' Mike Gallo facing 1-2-3,Top of the 7th Braves Batting Tied 5-5 Astros' Mike Gallo facing 1-2-3,,Top of the 7th Braves Batting Tied 5-5 Astros' Mike Gallo facing 1-2-3,Top of the 7th Braves Batting Tied 5-5 Astros' Mike Gallo facing 1-2-3,Top of the 7th Braves Batting Tied 5-5 Astros' Mike Gallo facing 1-2-3,Top of the 7th Braves Batting Tied 5-5 Astros' Mike Gallo facing 1-2-3,Top of the 7th Braves Batting Tied 5-5 Astros' Mike Gallo facing 1-2-3,Top of the 7th Braves Batting Tied 5-5 Astros' Mike Gallo facing 1-2-3,Top of the 7th Braves Batting Tied 5-5 Astros' Mike Gallo facing 1-2-3,Top of the 7th Braves Batting Tied 5-5 Astros' Mike Gallo facing 1-2-3
,,,,,,,,,Mike Gallo replaces Craig Biggio (LF) pitching and batting 1stJason Lane replaces Mike Lamb (PH) playing LF batting 9th,Mike Gallo replaces Craig Biggio (LF) pitching and batting 1stJason Lane replaces Mike Lamb (PH) playing LF batting 9th,Mike Gallo replaces Craig Biggio (LF) pitching and batting 1stJason Lane replaces Mike Lamb (PH) playing LF batting 9th
t7,5-5,0,"______, ______, ______",3(0-2) ..CCS,O,ATL,R. Furcal,M. Gallo,-4%,46%,Strikeout Swinging
t7,5-5,1,"______, ______, ______",8(3-2) SBBCFFBS,O,ATL,J. Drew,M. Gallo,-3%,43%,Strikeout Swinging
,,,,,,,,,Dan Miceli replaces Mike Gallo pitching and batting 1st,Dan Miceli replaces Mike Gallo pitching and batting 1st,Dan Miceli replaces Mike Gallo pitching and batting 1st
t7,5-5,2,"______, ______, ______",2(1-0) .BX,O,ATL,M. Giles,D. Miceli,-2%,41%,Flyball: CF
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Braves 5 Astros 5.,0 runs 0 hits 0 errors 0 LOB. Braves 5 Astros 5.,0 runs 0 hits 0 errors 0 LOB. Braves 5 Astros 5.
Bottom of the 7th Astros Batting Tied 5-5 Braves' Mike Hampton facing 3-4-5,Bottom of the 7th Astros Batting Tied 5-5 Braves' Mike Hampton facing 3-4-5,Bottom of the 7th Astros Batting Tied 5-5 Braves' Mike Hampton facing 3-4-5,,Bottom of the 7th Astros Batting Tied 5-5 Braves' Mike Hampton facing 3-4-5,Bottom of the 7th Astros Batting Tied 5-5 Braves' Mike Hampton facing 3-4-5,Bottom of the 7th Astros Batting Tied 5-5 Braves' Mike Hampton facing 3-4-5,Bottom of the 7th Astros Batting Tied 5-5 Braves' Mike Hampton facing 3-4-5,Bottom of the 7th Astros Batting Tied 5-5 Braves' Mike Hampton facing 3-4-5,Bottom of the 7th Astros Batting Tied 5-5 Braves' Mike Hampton facing 3-4-5,Bottom of the 7th Astros Batting Tied 5-5 Braves' Mike Hampton facing 3-4-5,Bottom of the 7th Astros Batting Tied 5-5 Braves' Mike Hampton facing 3-4-5
,,,,,,,,,Mike Hampton replaces Antonio Alfonseca pitching and batting 8th,Mike Hampton replaces Antonio Alfonseca pitching and batting 8th,Mike Hampton replaces Antonio Alfonseca pitching and batting 8th
b7,5-5,0,"______, ______, ______",6(3-2) .BBCBS*B,,HOU,J. Bagwell,M. Hampton,-6%,35%,Walk
