Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
t5,1-2,1,---,,O,CHC,B. Killefer,C. Mays,2%,72%,Groundout: P-1B
t5,1-2,2,---,,O,CHC,L. Tyler,C. Mays,1%,73%,Groundout: 2B-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Cubs 1 Red Sox 2.,0 runs 0 hits 0 errors 0 LOB. Cubs 1 Red Sox 2.,0 runs 0 hits 0 errors 0 LOB. Cubs 1 Red Sox 2.
Bottom of the 5th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 3-4-5,Bottom of the 5th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 3-4-5,Bottom of the 5th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 3-4-5,Bottom of the 5th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 3-4-5,Bottom of the 5th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 3-4-5,Bottom of the 5th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 3-4-5,Bottom of the 5th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 3-4-5,Bottom of the 5th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 3-4-5,Bottom of the 5th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 3-4-5,Bottom of the 5th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 3-4-5,Bottom of the 5th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 3-4-5,Bottom of the 5th Red Sox Batting Ahead 2-1 Cubs' Lefty Tyler facing 3-4-5
b5,2-1,0,---,,O,BOS,A. Strunk,L. Tyler,-2%,71%,Flyball: LF
b5,2-1,1,---,,O,BOS,G. Whiteman,L. Tyler,-1%,70%,Groundout: SS-1B
b5,2-1,2,---,,,BOS,S. McInnis,L. Tyler,1%,71%,Reached on E1 (Ground Ball); McInnis to 1B
b5,2-1,2,1--,,O,BOS,E. Scott,L. Tyler,-2%,69%,Flyball: RF
,,,,,,,,,0 runs 0 hits 1 error 1 LOB. Cubs 1 Red Sox 2.,0 runs 0 hits 1 error 1 LOB. Cubs 1 Red Sox 2.,0 runs 0 hits 1 error 1 LOB. Cubs 1 Red Sox 2.
Top of the 6th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 1-2-3,Top of the 6th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 1-2-3,Top of the 6th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 1-2-3,Top of the 6th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 1-2-3,Top of the 6th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 1-2-3,Top of the 6th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 1-2-3,Top of the 6th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 1-2-3,Top of the 6th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 1-2-3,Top of the 6th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 1-2-3,Top of the 6th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 1-2-3,Top of the 6th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 1-2-3,Top of the 6th Cubs Batting Behind 1-2 Red Sox' Carl Mays facing 1-2-3
