Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 6th Royals Batting Ahead 2-1 Yankees' Shane Rawley facing 7-8-9,Top of the 6th Royals Batting Ahead 2-1 Yankees' Shane Rawley facing 7-8-9,Top of the 6th Royals Batting Ahead 2-1 Yankees' Shane Rawley facing 7-8-9,Top of the 6th Royals Batting Ahead 2-1 Yankees' Shane Rawley facing 7-8-9,Top of the 6th Royals Batting Ahead 2-1 Yankees' Shane Rawley facing 7-8-9,Top of the 6th Royals Batting Ahead 2-1 Yankees' Shane Rawley facing 7-8-9,Top of the 6th Royals Batting Ahead 2-1 Yankees' Shane Rawley facing 7-8-9,Top of the 6th Royals Batting Ahead 2-1 Yankees' Shane Rawley facing 7-8-9,Top of the 6th Royals Batting Ahead 2-1 Yankees' Shane Rawley facing 7-8-9,Top of the 6th Royals Batting Ahead 2-1 Yankees' Shane Rawley facing 7-8-9,Top of the 6th Royals Batting Ahead 2-1 Yankees' Shane Rawley facing 7-8-9,Top of the 6th Royals Batting Ahead 2-1 Yankees' Shane Rawley facing 7-8-9
t6,2-1,0,---,,O,KCR,L. Roberts,S. Rawley,-2%,64%,Groundout: SS-1B
t6,2-1,1,---,,,KCR,F. White,S. Rawley,8%,73%,Triple to LF
t6,2-1,1,--3,,R,KCR,D. Slaught,S. Rawley,10%,83%,Triple to CF; White Scores
,,,,,,,,,Dale Murray replaces Shane Rawley pitchingPat Sheridan pinch hits for Willie Wilson (CF) batting 1st,Dale Murray replaces Shane Rawley pitchingPat Sheridan pinch hits for Willie Wilson (CF) batting 1st,Dale Murray replaces Shane Rawley pitchingPat Sheridan pinch hits for Willie Wilson (CF) batting 1st
t6,3-1,1,--3,,O,KCR,P. Sheridan,D. Murray,-5%,78%,Strikeout
t6,3-1,2,--3,,O,KCR,U. Washington,D. Murray,-3%,75%,Groundout: SS-1B
,,,,,,,,,1 run 2 hits 0 errors 1 LOB. Royals 3 Yankees 1.,1 run 2 hits 0 errors 1 LOB. Royals 3 Yankees 1.,1 run 2 hits 0 errors 1 LOB. Royals 3 Yankees 1.
Bottom of the 6th Yankees Batting Behind 1-3 Royals' Buddy Black facing 1-2-3,Bottom of the 6th Yankees Batting Behind 1-3 Royals' Buddy Black facing 1-2-3,Bottom of the 6th Yankees Batting Behind 1-3 Royals' Buddy Black facing 1-2-3,Bottom of the 6th Yankees Batting Behind 1-3 Royals' Buddy Black facing 1-2-3,Bottom of the 6th Yankees Batting Behind 1-3 Royals' Buddy Black facing 1-2-3,Bottom of the 6th Yankees Batting Behind 1-3 Royals' Buddy Black facing 1-2-3,Bottom of the 6th Yankees Batting Behind 1-3 Royals' Buddy Black facing 1-2-3,Bottom of the 6th Yankees Batting Behind 1-3 Royals' Buddy Black facing 1-2-3,Bottom of the 6th Yankees Batting Behind 1-3 Royals' Buddy Black facing 1-2-3,Bottom of the 6th Yankees Batting Behind 1-3 Royals' Buddy Black facing 1-2-3,Bottom of the 6th Yankees Batting Behind 1-3 Royals' Buddy Black facing 1-2-3,Bottom of the 6th Yankees Batting Behind 1-3 Royals' Buddy Black facing 1-2-3
,,,,,,,,,Pat Sheridan moves from PH to CF,Pat Sheridan moves from PH to CF,Pat Sheridan moves from PH to CF
b6,1-3,0,---,,,NYY,B. Campaneris,B. Black,-6%,69%,Single to SS
b6,1-3,0,1--,,O,NYY,G. Nettles,B. Black,5%,75%,Strikeout
b6,1-3,1,1--,,,NYY,L. Piniella,B. Black,-6%,69%,Single to CF; Campaneris to 2B
b6,1-3,1,12-,,RR,NYY,D. Baylor,B. Black,-34%,34%,Triple to CF; Campaneris Scores; Piniella Scores
b6,3-3,1,--3,,RO,NYY,D. Winfield,B. Black,-5%,29%,Single to LF; Baylor Scores; Winfield out at 2B/LF-2B
b6,4-3,2,---,,O,NYY,S. Kemp,B. Black,1%,30%,Flyball: CF
,,,,,,,,,3 runs 4 hits 0 errors 0 LOB. Royals 3 Yankees 4.,3 runs 4 hits 0 errors 0 LOB. Royals 3 Yankees 4.,3 runs 4 hits 0 errors 0 LOB. Royals 3 Yankees 4.
Top of the 7th Royals Batting Behind 3-4 Yankees' Dale Murray facing 3-4-5,Top of the 7th Royals Batting Behind 3-4 Yankees' Dale Murray facing 3-4-5,Top of the 7th Royals Batting Behind 3-4 Yankees' Dale Murray facing 3-4-5,Top of the 7th Royals Batting Behind 3-4 Yankees' Dale Murray facing 3-4-5,Top of the 7th Royals Batting Behind 3-4 Yankees' Dale Murray facing 3-4-5,Top of the 7th Royals Batting Behind 3-4 Yankees' Dale Murray facing 3-4-5,Top of the 7th Royals Batting Behind 3-4 Yankees' Dale Murray facing 3-4-5,Top of the 7th Royals Batting Behind 3-4 Yankees' Dale Murray facing 3-4-5,Top of the 7th Royals Batting Behind 3-4 Yankees' Dale Murray facing 3-4-5,Top of the 7th Royals Batting Behind 3-4 Yankees' Dale Murray facing 3-4-5,Top of the 7th Royals Batting Behind 3-4 Yankees' Dale Murray facing 3-4-5,Top of the 7th Royals Batting Behind 3-4 Yankees' Dale Murray facing 3-4-5
