Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Bottom of the 4th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 1-2-3,Bottom of the 4th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 1-2-3,Bottom of the 4th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 1-2-3,Bottom of the 4th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 1-2-3,Bottom of the 4th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 1-2-3,Bottom of the 4th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 1-2-3,Bottom of the 4th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 1-2-3,Bottom of the 4th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 1-2-3,Bottom of the 4th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 1-2-3,Bottom of the 4th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 1-2-3,Bottom of the 4th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 1-2-3,Bottom of the 4th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 1-2-3
b4,0-0,0,---,,O,MLN,J. O'Brien,H. Haddix,-3%,53%,Strikeout Looking
b4,0-0,1,---,,O,MLN,E. Mathews,H. Haddix,-2%,51%,Flyball: CF
b4,0-0,2,---,,O,MLN,H. Aaron,H. Haddix,-1%,50%,Flyball: CF
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Pirates 0 Braves 0.,0 runs 0 hits 0 errors 0 LOB. Pirates 0 Braves 0.,0 runs 0 hits 0 errors 0 LOB. Pirates 0 Braves 0.
Top of the 5th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9,Top of the 5th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9,Top of the 5th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9,Top of the 5th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9,Top of the 5th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9,Top of the 5th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9,Top of the 5th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9,Top of the 5th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9,Top of the 5th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9,Top of the 5th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9,Top of the 5th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9,Top of the 5th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 7-8-9
t5,0-0,0,---,,O,PIT,D. Hoak,L. Burdette,3%,53%,Groundout: SS-1B
t5,0-0,1,---,,,PIT,R. Mejias,L. Burdette,-3%,50%,Single to RF
t5,0-0,1,1--,,OO,PIT,H. Haddix,L. Burdette,7%,56%,Ground Ball Double Play: 3B-2B-1B
,,,,,,,,,0 runs 1 hit 0 errors 0 LOB. Pirates 0 Braves 0.,0 runs 1 hit 0 errors 0 LOB. Pirates 0 Braves 0.,0 runs 1 hit 0 errors 0 LOB. Pirates 0 Braves 0.
Bottom of the 5th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 4-5-6,Bottom of the 5th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 4-5-6,Bottom of the 5th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 4-5-6,Bottom of the 5th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 4-5-6,Bottom of the 5th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 4-5-6,Bottom of the 5th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 4-5-6,Bottom of the 5th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 4-5-6,Bottom of the 5th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 4-5-6,Bottom of the 5th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 4-5-6,Bottom of the 5th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 4-5-6,Bottom of the 5th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 4-5-6,Bottom of the 5th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 4-5-6
b5,0-0,0,---,,O,MLN,J. Adcock,H. Haddix,-3%,53%,Groundout: 3B-1B
b5,0-0,1,---,,O,MLN,W. Covington,H. Haddix,-2%,51%,Flyball: LF
b5,0-0,2,---,,O,MLN,D. Crandall,H. Haddix,-1%,50%,Flyball: LF (Deep LF)
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Pirates 0 Braves 0.,0 runs 0 hits 0 errors 0 LOB. Pirates 0 Braves 0.,0 runs 0 hits 0 errors 0 LOB. Pirates 0 Braves 0.
Top of the 6th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3,Top of the 6th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3,Top of the 6th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3,Top of the 6th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3,Top of the 6th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3,Top of the 6th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3,Top of the 6th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3,Top of the 6th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3,Top of the 6th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3,Top of the 6th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3,Top of the 6th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3,Top of the 6th Pirates Batting Tied 0-0 Braves' Lew Burdette facing 1-2-3
t6,0-0,0,---,,O,PIT,D. Schofield,L. Burdette,3%,53%,Groundout: 2B-1B
t6,0-0,1,---,,O,PIT,B. Virdon,L. Burdette,2%,56%,Groundout: 1B-P
t6,0-0,2,---,,O,PIT,S. Burgess,L. Burdette,2%,57%,Flyball: LF
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Pirates 0 Braves 0.,0 runs 0 hits 0 errors 0 LOB. Pirates 0 Braves 0.,0 runs 0 hits 0 errors 0 LOB. Pirates 0 Braves 0.
Bottom of the 6th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 7-8-9,Bottom of the 6th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 7-8-9,Bottom of the 6th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 7-8-9,Bottom of the 6th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 7-8-9,Bottom of the 6th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 7-8-9,Bottom of the 6th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 7-8-9,Bottom of the 6th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 7-8-9,Bottom of the 6th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 7-8-9,Bottom of the 6th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 7-8-9,Bottom of the 6th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 7-8-9,Bottom of the 6th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 7-8-9,Bottom of the 6th Braves Batting Tied 0-0 Pirates' Harvey Haddix facing 7-8-9
b6,0-0,0,---,,O,MLN,A. Pafko,H. Haddix,-3%,54%,Popfly: 1B
b6,0-0,1,---,,O,MLN,J. Logan,H. Haddix,-2%,52%,Groundout: SS-1B
b6,0-0,2,---,,O,MLN,L. Burdette,H. Haddix,-2%,50%,Strikeout
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Pirates 0 Braves 0.,0 runs 0 hits 0 errors 0 LOB. Pirates 0 Braves 0.,0 runs 0 hits 0 errors 0 LOB. Pirates 0 Braves 0.
