Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
b4,3-3,2,-2-,4(0-2) CFFC,O,STL,T. Womack,J. Weaver,-4%,50%,Strikeout Looking
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Dodgers 3 Cardinals 3.,0 runs 1 hit 0 errors 1 LOB. Dodgers 3 Cardinals 3.,0 runs 1 hit 0 errors 1 LOB. Dodgers 3 Cardinals 3.
Top of the 5th Dodgers Batting Tied 3-3 Cardinals' Dan Haren facing 4-5-6,Top of the 5th Dodgers Batting Tied 3-3 Cardinals' Dan Haren facing 4-5-6,Top of the 5th Dodgers Batting Tied 3-3 Cardinals' Dan Haren facing 4-5-6,Top of the 5th Dodgers Batting Tied 3-3 Cardinals' Dan Haren facing 4-5-6,Top of the 5th Dodgers Batting Tied 3-3 Cardinals' Dan Haren facing 4-5-6,Top of the 5th Dodgers Batting Tied 3-3 Cardinals' Dan Haren facing 4-5-6,Top of the 5th Dodgers Batting Tied 3-3 Cardinals' Dan Haren facing 4-5-6,Top of the 5th Dodgers Batting Tied 3-3 Cardinals' Dan Haren facing 4-5-6,Top of the 5th Dodgers Batting Tied 3-3 Cardinals' Dan Haren facing 4-5-6,Top of the 5th Dodgers Batting Tied 3-3 Cardinals' Dan Haren facing 4-5-6,Top of the 5th Dodgers Batting Tied 3-3 Cardinals' Dan Haren facing 4-5-6,Top of the 5th Dodgers Batting Tied 3-3 Cardinals' Dan Haren facing 4-5-6
,,,,,,,,,Dan Haren replaces Marlon Anderson (PH) pitching and batting 9th,Dan Haren replaces Marlon Anderson (PH) pitching and batting 9th,Dan Haren replaces Marlon Anderson (PH) pitching and batting 9th
t5,3-3,0,---,5(2-2) .BBFFS,O,LAD,A. Beltre,D. Haren,3%,53%,Strikeout Swinging
t5,3-3,1,---,6(2-2) SBBSFX,O,LAD,S. Green,D. Haren,2%,55%,Groundout: 1B unassisted
t5,3-3,2,---,2(1-0) BX,,LAD,M. Bradley,D. Haren,-3%,52%,Ground-rule Double
t5,3-3,2,-2-,5(2-2) CBBFC,O,LAD,A. Cora,D. Haren,5%,57%,Strikeout Looking
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Dodgers 3 Cardinals 3.,0 runs 1 hit 0 errors 1 LOB. Dodgers 3 Cardinals 3.,0 runs 1 hit 0 errors 1 LOB. Dodgers 3 Cardinals 3.
Bottom of the 5th Cardinals Batting Tied 3-3 Dodgers' Jeff Weaver facing 2-3-4,Bottom of the 5th Cardinals Batting Tied 3-3 Dodgers' Jeff Weaver facing 2-3-4,Bottom of the 5th Cardinals Batting Tied 3-3 Dodgers' Jeff Weaver facing 2-3-4,Bottom of the 5th Cardinals Batting Tied 3-3 Dodgers' Jeff Weaver facing 2-3-4,Bottom of the 5th Cardinals Batting Tied 3-3 Dodgers' Jeff Weaver facing 2-3-4,Bottom of the 5th Cardinals Batting Tied 3-3 Dodgers' Jeff Weaver facing 2-3-4,Bottom of the 5th Cardinals Batting Tied 3-3 Dodgers' Jeff Weaver facing 2-3-4,Bottom of the 5th Cardinals Batting Tied 3-3 Dodgers' Jeff Weaver facing 2-3-4,Bottom of the 5th Cardinals Batting Tied 3-3 Dodgers' Jeff Weaver facing 2-3-4,Bottom of the 5th Cardinals Batting Tied 3-3 Dodgers' Jeff Weaver facing 2-3-4,Bottom of the 5th Cardinals Batting Tied 3-3 Dodgers' Jeff Weaver facing 2-3-4,Bottom of the 5th Cardinals Batting Tied 3-3 Dodgers' Jeff Weaver facing 2-3-4
b5,3-3,0,---,2(1-0) BH,,STL,L. Walker,J. Weaver,5%,61%,Hit By Pitch
b5,3-3,0,1--,1(0-0) 1X,,STL,A. Pujols,J. Weaver,7%,68%,Single to RF (Ground Ball); Walker to 2B
b5,3-3,0,12-,1(0-0) X,O,STL,S. Rolen,J. Weaver,-7%,61%,Flyball: CF
b5,3-3,1,12-,5(2-2) FF*BBC,O,STL,J. Edmonds,J. Weaver,-6%,56%,Strikeout Looking
b5,3-3,2,12-,3(2-0) BBX,R,STL,E. Renteria,J. Weaver,14%,70%,Single to CF (Line Drive); Walker Scores; Pujols to 2B
b5,4-3,2,12-,1(0-0) H,,STL,R. Sanders,J. Weaver,3%,73%,Hit By Pitch; Pujols to 3B; Renteria to 2B
b5,4-3,2,123,1(0-0) X,RR,STL,M. Matheny,J. Weaver,16%,88%,Single to CF (Line Drive); Pujols Scores; Renteria Scores; Sanders to 3B
,,,,,,,,,Duaner Sanchez replaces Jeff Weaver pitching and batting 9th,Duaner Sanchez replaces Jeff Weaver pitching and batting 9th,Duaner Sanchez replaces Jeff Weaver pitching and batting 9th
b5,6-3,2,1-3,1(0-0) .X,O,STL,D. Haren,D. Sanchez,-2%,86%,Flyball: LF
,,,,,,,,,3 runs 3 hits 0 errors 2 LOB. Dodgers 3 Cardinals 6.,3 runs 3 hits 0 errors 2 LOB. Dodgers 3 Cardinals 6.,3 runs 3 hits 0 errors 2 LOB. Dodgers 3 Cardinals 6.
Top of the 6th Dodgers Batting Behind 3-6 Cardinals' Dan Haren facing 8-9-1,Top of the 6th Dodgers Batting Behind 3-6 Cardinals' Dan Haren facing 8-9-1,Top of the 6th Dodgers Batting Behind 3-6 Cardinals' Dan Haren facing 8-9-1,Top of the 6th Dodgers Batting Behind 3-6 Cardinals' Dan Haren facing 8-9-1,Top of the 6th Dodgers Batting Behind 3-6 Cardinals' Dan Haren facing 8-9-1,Top of the 6th Dodgers Batting Behind 3-6 Cardinals' Dan Haren facing 8-9-1,Top of the 6th Dodgers Batting Behind 3-6 Cardinals' Dan Haren facing 8-9-1,Top of the 6th Dodgers Batting Behind 3-6 Cardinals' Dan Haren facing 8-9-1,Top of the 6th Dodgers Batting Behind 3-6 Cardinals' Dan Haren facing 8-9-1,Top of the 6th Dodgers Batting Behind 3-6 Cardinals' Dan Haren facing 8-9-1,Top of the 6th Dodgers Batting Behind 3-6 Cardinals' Dan Haren facing 8-9-1,Top of the 6th Dodgers Batting Behind 3-6 Cardinals' Dan Haren facing 8-9-1
t6,3-6,0,---,5(2-2) BCBSX,O,LAD,D. Ross,D. Haren,2%,89%,Groundout: SS-1B
,,,,,,,,,Jason Grabowski pinch hits for Duaner Sanchez (P) batting 9th,Jason Grabowski pinch hits for Duaner Sanchez (P) batting 9th,Jason Grabowski pinch hits for Duaner Sanchez (P) batting 9th
t6,3-6,1,---,4(3-0) .BBBB,,LAD,J. Grabowski,D. Haren,-3%,86%,Walk
t6,3-6,1,1--,5(1-2) CFFBS,O,LAD,C. Izturis,D. Haren,3%,89%,Strikeout Swinging
t6,3-6,2,1--,3(1-1) SBX,O,LAD,J. Werth,D. Haren,2%,91%,Flyball: RF
,,,,,,,,,0 runs 0 hits 0 errors 1 LOB. Dodgers 3 Cardinals 6.,0 runs 0 hits 0 errors 1 LOB. Dodgers 3 Cardinals 6.,0 runs 0 hits 0 errors 1 LOB. Dodgers 3 Cardinals 6.
