Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3,Top of the 1st Red Sox Batting Tied 0-0 Cardinals' Jeff Suppan facing 1-2-3
,,,,,,,,,0 runs 0 hits 0 errors 1 LOB. Red Sox 1 Cardinals 0.,0 runs 0 hits 0 errors 1 LOB. Red Sox 1 Cardinals 0.,0 runs 0 hits 0 errors 1 LOB. Red Sox 1 Cardinals 0.
Bottom of the 3rd Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 9-1-2,Bottom of the 3rd Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 9-1-2,Bottom of the 3rd Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 9-1-2,Bottom of the 3rd Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 9-1-2,Bottom of the 3rd Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 9-1-2,Bottom of the 3rd Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 9-1-2,Bottom of the 3rd Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 9-1-2,Bottom of the 3rd Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 9-1-2,Bottom of the 3rd Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 9-1-2,Bottom of the 3rd Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 9-1-2,Bottom of the 3rd Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 9-1-2,Bottom of the 3rd Cardinals Batting Behind 0-1 Red Sox' Pedro Martinez facing 9-1-2
b3,0-1,0,---,6(2-2) CBBFFX,,STL,J. Suppan,P. Martinez,-4%,52%,Single to 3B (Ground Ball)
b3,0-1,0,1--,3(1-1) B1FX,,STL,E. Renteria,P. Martinez,-12%,39%,Double to RF (Fly Ball); Suppan to 3B
b3,0-1,0,-23,1(0-0) X,OO,STL,L. Walker,P. Martinez,19%,58%,Double Play: Groundout: 2B-1B; Suppan out at Hm/1B-3B
b3,0-1,2,-2-,6(3-2) FBCBBX,O,STL,A. Pujols,P. Martinez,4%,62%,Groundout: 3B-1B
,,,,,,,,,0 runs 2 hits 0 errors 1 LOB. Red Sox 1 Cardinals 0.,0 runs 2 hits 0 errors 1 LOB. Red Sox 1 Cardinals 0.,0 runs 2 hits 0 errors 1 LOB. Red Sox 1 Cardinals 0.
Top of the 4th Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 4-5-6,Top of the 4th Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 4-5-6,Top of the 4th Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 4-5-6,Top of the 4th Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 4-5-6,Top of the 4th Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 4-5-6,Top of the 4th Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 4-5-6,Top of the 4th Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 4-5-6,Top of the 4th Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 4-5-6,Top of the 4th Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 4-5-6,Top of the 4th Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 4-5-6,Top of the 4th Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 4-5-6,Top of the 4th Red Sox Batting Ahead 1-0 Cardinals' Jeff Suppan facing 4-5-6
t4,1-0,0,---,3(1-1) FBX,O,BOS,D. Ortiz,J. Suppan,-2%,60%,Groundout: 1B unassisted
t4,1-0,1,---,5(2-2) BCCBS,O,BOS,J. Varitek,J. Suppan,-2%,58%,Strikeout Swinging
t4,1-0,2,---,2(1-0) BX,,BOS,B. Mueller,J. Suppan,2%,61%,Double to LF (Line Drive)
t4,1-0,2,-2-,1(0-0) X,R,BOS,T. Nixon,J. Suppan,10%,71%,Single to RF (Fly Ball); Mueller Scores
t4,2-0,2,1--,4(2-1) FBBH,,BOS,M. Bellhorn,J. Suppan,2%,72%,Hit By Pitch; Nixon to 2B
t4,2-0,2,12-,3(0-2) FSC,O,BOS,P. Martinez,J. Suppan,-3%,69%,Strikeout Looking
,,,,,,,,,1 run 2 hits 0 errors 2 LOB. Red Sox 2 Cardinals 0.,1 run 2 hits 0 errors 2 LOB. Red Sox 2 Cardinals 0.,1 run 2 hits 0 errors 2 LOB. Red Sox 2 Cardinals 0.
