Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Bottom of the 3rd Astros Batting Behind 1-4 Cardinals' Jason Marquis facing 1-2-3,Bottom of the 3rd Astros Batting Behind 1-4 Cardinals' Jason Marquis facing 1-2-3,Bottom of the 3rd Astros Batting Behind 1-4 Cardinals' Jason Marquis facing 1-2-3,Bottom of the 3rd Astros Batting Behind 1-4 Cardinals' Jason Marquis facing 1-2-3,Bottom of the 3rd Astros Batting Behind 1-4 Cardinals' Jason Marquis facing 1-2-3,Bottom of the 3rd Astros Batting Behind 1-4 Cardinals' Jason Marquis facing 1-2-3,Bottom of the 3rd Astros Batting Behind 1-4 Cardinals' Jason Marquis facing 1-2-3,Bottom of the 3rd Astros Batting Behind 1-4 Cardinals' Jason Marquis facing 1-2-3,Bottom of the 3rd Astros Batting Behind 1-4 Cardinals' Jason Marquis facing 1-2-3,Bottom of the 3rd Astros Batting Behind 1-4 Cardinals' Jason Marquis facing 1-2-3,Bottom of the 3rd Astros Batting Behind 1-4 Cardinals' Jason Marquis facing 1-2-3,Bottom of the 3rd Astros Batting Behind 1-4 Cardinals' Jason Marquis facing 1-2-3
b3,1-4,0,---,10(3-2) CBFFFBFBFX,O,HOU,C. Biggio,J. Marquis,-2%,22%,Popfly: 3B
b3,1-4,1,---,2(1-0) BX,,HOU,C. Beltran,J. Marquis,3%,24%,Single to CF (Ground Ball)
b3,1-4,1,1--,2(0-1) FX,,HOU,J. Bagwell,J. Marquis,4%,28%,Single to CF (Line Drive); Beltran to 2B
b3,1-4,1,12-,2(1-0) BX,RR,HOU,L. Berkman,J. Marquis,18%,46%,Double to CF (Fly Ball); Beltran Scores; Bagwell Scores
b3,3-4,1,-2-,1(0-0) X,O,HOU,J. Kent,J. Marquis,-4%,42%,Popfly: 3B
b3,3-4,2,-2-,4(1-2) FSBS,O,HOU,M. Ensberg,J. Marquis,-4%,38%,Strikeout Swinging
,,,,,,,,,2 runs 3 hits 0 errors 1 LOB. Cardinals 4 Astros 3.,2 runs 3 hits 0 errors 1 LOB. Cardinals 4 Astros 3.,2 runs 3 hits 0 errors 1 LOB. Cardinals 4 Astros 3.
Top of the 4th Cardinals Batting Ahead 4-3 Astros' Roy Oswalt facing 8-9-1,Top of the 4th Cardinals Batting Ahead 4-3 Astros' Roy Oswalt facing 8-9-1,Top of the 4th Cardinals Batting Ahead 4-3 Astros' Roy Oswalt facing 8-9-1,Top of the 4th Cardinals Batting Ahead 4-3 Astros' Roy Oswalt facing 8-9-1,Top of the 4th Cardinals Batting Ahead 4-3 Astros' Roy Oswalt facing 8-9-1,Top of the 4th Cardinals Batting Ahead 4-3 Astros' Roy Oswalt facing 8-9-1,Top of the 4th Cardinals Batting Ahead 4-3 Astros' Roy Oswalt facing 8-9-1,Top of the 4th Cardinals Batting Ahead 4-3 Astros' Roy Oswalt facing 8-9-1,Top of the 4th Cardinals Batting Ahead 4-3 Astros' Roy Oswalt facing 8-9-1,Top of the 4th Cardinals Batting Ahead 4-3 Astros' Roy Oswalt facing 8-9-1,Top of the 4th Cardinals Batting Ahead 4-3 Astros' Roy Oswalt facing 8-9-1,Top of the 4th Cardinals Batting Ahead 4-3 Astros' Roy Oswalt facing 8-9-1
t4,4-3,0,---,2(0-1) CX,O,STL,Y. Molina,R. Oswalt,2%,40%,Flyball: CF
t4,4-3,1,---,1(0-0) X,O,STL,J. Marquis,R. Oswalt,2%,42%,Single to RF (Ground Ball); Marquis out at 2B/RF-SS
t4,4-3,2,---,5(3-1) BCBBB,,STL,T. Womack,R. Oswalt,-1%,41%,Walk
t4,4-3,2,1--,2(0-1) 1CX,,STL,L. Walker,R. Oswalt,-3%,38%,Single to CF (Ground Ball); Womack to 3B
t4,4-3,2,1-3,4(0-2) FFFX,R,STL,A. Pujols,R. Oswalt,-11%,27%,Single to CF (Line Drive); Womack Scores; Walker to 3B
t4,5-3,2,1-3,1(0-0) X,O,STL,S. Rolen,R. Oswalt,4%,32%,Flyball: CF
,,,,,,,,,1 run 3 hits 0 errors 2 LOB. Cardinals 5 Astros 3.,1 run 3 hits 0 errors 2 LOB. Cardinals 5 Astros 3.,1 run 3 hits 0 errors 2 LOB. Cardinals 5 Astros 3.
Bottom of the 4th Astros Batting Behind 3-5 Cardinals' Jason Marquis facing 7-8-9,Bottom of the 4th Astros Batting Behind 3-5 Cardinals' Jason Marquis facing 7-8-9,Bottom of the 4th Astros Batting Behind 3-5 Cardinals' Jason Marquis facing 7-8-9,Bottom of the 4th Astros Batting Behind 3-5 Cardinals' Jason Marquis facing 7-8-9,Bottom of the 4th Astros Batting Behind 3-5 Cardinals' Jason Marquis facing 7-8-9,Bottom of the 4th Astros Batting Behind 3-5 Cardinals' Jason Marquis facing 7-8-9,Bottom of the 4th Astros Batting Behind 3-5 Cardinals' Jason Marquis facing 7-8-9,Bottom of the 4th Astros Batting Behind 3-5 Cardinals' Jason Marquis facing 7-8-9,Bottom of the 4th Astros Batting Behind 3-5 Cardinals' Jason Marquis facing 7-8-9,Bottom of the 4th Astros Batting Behind 3-5 Cardinals' Jason Marquis facing 7-8-9,Bottom of the 4th Astros Batting Behind 3-5 Cardinals' Jason Marquis facing 7-8-9,Bottom of the 4th Astros Batting Behind 3-5 Cardinals' Jason Marquis facing 7-8-9
b4,3-5,0,---,6(3-2) CBSBBX,O,HOU,J. Vizcaino,J. Marquis,-3%,29%,Flyball: LF
b4,3-5,1,---,4(2-1) BBFX,O,HOU,R. Chavez,J. Marquis,-2%,27%,Groundout: 1B unassisted
b4,3-5,2,---,2(0-1) CX,O,HOU,R. Oswalt,J. Marquis,-1%,25%,Groundout: 2B-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Cardinals 5 Astros 3.,0 runs 0 hits 0 errors 0 LOB. Cardinals 5 Astros 3.,0 runs 0 hits 0 errors 0 LOB. Cardinals 5 Astros 3.
Top of the 5th Cardinals Batting Ahead 5-3 Astros' Roy Oswalt facing 5-6-7,Top of the 5th Cardinals Batting Ahead 5-3 Astros' Roy Oswalt facing 5-6-7,Top of the 5th Cardinals Batting Ahead 5-3 Astros' Roy Oswalt facing 5-6-7,Top of the 5th Cardinals Batting Ahead 5-3 Astros' Roy Oswalt facing 5-6-7,Top of the 5th Cardinals Batting Ahead 5-3 Astros' Roy Oswalt facing 5-6-7,Top of the 5th Cardinals Batting Ahead 5-3 Astros' Roy Oswalt facing 5-6-7,Top of the 5th Cardinals Batting Ahead 5-3 Astros' Roy Oswalt facing 5-6-7,Top of the 5th Cardinals Batting Ahead 5-3 Astros' Roy Oswalt facing 5-6-7,Top of the 5th Cardinals Batting Ahead 5-3 Astros' Roy Oswalt facing 5-6-7,Top of the 5th Cardinals Batting Ahead 5-3 Astros' Roy Oswalt facing 5-6-7,Top of the 5th Cardinals Batting Ahead 5-3 Astros' Roy Oswalt facing 5-6-7,Top of the 5th Cardinals Batting Ahead 5-3 Astros' Roy Oswalt facing 5-6-7
t5,5-3,0,---,3(1-1) BSX,O,STL,J. Edmonds,R. Oswalt,2%,27%,Flyball: LF
t5,5-3,1,---,1(0-0) X,O,STL,E. Renteria,R. Oswalt,1%,28%,Groundout: 1B unassisted
t5,5-3,2,---,1(0-0) X,O,STL,J. Mabry,R. Oswalt,1%,29%,Flyball: CF
