Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
,,,,,,,,,1 run 2 hits 0 errors 0 LOB. Twins 1 Yankees 0.,1 run 2 hits 0 errors 0 LOB. Twins 1 Yankees 0.,1 run 2 hits 0 errors 0 LOB. Twins 1 Yankees 0.
Bottom of the 3rd Yankees Batting Behind 0-1 Twins' Johan Santana facing 9-1-2,Bottom of the 3rd Yankees Batting Behind 0-1 Twins' Johan Santana facing 9-1-2,Bottom of the 3rd Yankees Batting Behind 0-1 Twins' Johan Santana facing 9-1-2,Bottom of the 3rd Yankees Batting Behind 0-1 Twins' Johan Santana facing 9-1-2,Bottom of the 3rd Yankees Batting Behind 0-1 Twins' Johan Santana facing 9-1-2,Bottom of the 3rd Yankees Batting Behind 0-1 Twins' Johan Santana facing 9-1-2,Bottom of the 3rd Yankees Batting Behind 0-1 Twins' Johan Santana facing 9-1-2,Bottom of the 3rd Yankees Batting Behind 0-1 Twins' Johan Santana facing 9-1-2,Bottom of the 3rd Yankees Batting Behind 0-1 Twins' Johan Santana facing 9-1-2,Bottom of the 3rd Yankees Batting Behind 0-1 Twins' Johan Santana facing 9-1-2,Bottom of the 3rd Yankees Batting Behind 0-1 Twins' Johan Santana facing 9-1-2,Bottom of the 3rd Yankees Batting Behind 0-1 Twins' Johan Santana facing 9-1-2
b3,0-1,0,---,6(2-2) CBSBFS,O,NYY,M. Cairo,J. Santana,3%,58%,Strikeout Swinging
b3,0-1,1,---,1(0-0) X,,NYY,D. Jeter,J. Santana,-3%,55%,Single to LF (Ground Ball)
b3,0-1,1,1--,6(3-2) BF1FB*BS,O,NYY,A. Rodriguez,J. Santana,3%,59%,Strikeout Swinging
b3,0-1,2,1--,2(0-1) CX,O,NYY,G. Sheffield,J. Santana,3%,62%,Foul Popfly: 3B (3B Foul)
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Twins 1 Yankees 0.,0 runs 1 hit 0 errors 1 LOB. Twins 1 Yankees 0.,0 runs 1 hit 0 errors 1 LOB. Twins 1 Yankees 0.
Top of the 4th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 3-4-5,Top of the 4th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 3-4-5,Top of the 4th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 3-4-5,Top of the 4th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 3-4-5,Top of the 4th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 3-4-5,Top of the 4th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 3-4-5,Top of the 4th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 3-4-5,Top of the 4th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 3-4-5,Top of the 4th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 3-4-5,Top of the 4th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 3-4-5,Top of the 4th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 3-4-5,Top of the 4th Twins Batting Ahead 1-0 Yankees' Mike Mussina facing 3-4-5
t4,1-0,0,---,4(1-2) BFFX,O,MIN,T. Hunter,M. Mussina,-2%,59%,Flyball: CF
t4,1-0,1,---,1(0-0) X,O,MIN,J. Morneau,M. Mussina,-2%,58%,Groundout: 2B-1B
t4,1-0,2,---,4(1-2) BCFX,,MIN,C. Koskie,M. Mussina,1%,59%,Single to RF (Line Drive)
t4,1-0,2,1--,5(2-2) CBBCS,O,MIN,L. Ford,M. Mussina,-2%,56%,Strikeout Swinging
,,,,,,,,,0 runs 1 hit 0 errors 1 LOB. Twins 1 Yankees 0.,0 runs 1 hit 0 errors 1 LOB. Twins 1 Yankees 0.,0 runs 1 hit 0 errors 1 LOB. Twins 1 Yankees 0.
