Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
,,,,,,,,,0 runs 1 hit 0 errors 0 LOB. Red Sox 1 Angels 1.,0 runs 1 hit 0 errors 0 LOB. Red Sox 1 Angels 1.,0 runs 1 hit 0 errors 0 LOB. Red Sox 1 Angels 1.
Top of the 5th Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 1-2-3,Top of the 5th Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 1-2-3,Top of the 5th Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 1-2-3,Top of the 5th Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 1-2-3,Top of the 5th Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 1-2-3,Top of the 5th Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 1-2-3,Top of the 5th Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 1-2-3,Top of the 5th Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 1-2-3,Top of the 5th Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 1-2-3,Top of the 5th Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 1-2-3,Top of the 5th Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 1-2-3,Top of the 5th Red Sox Batting Tied 1-1 Angels' Bartolo Colon facing 1-2-3
t5,1-1,0,---,2(0-1) CX,O,BOS,J. Damon,B. Colon,-3%,47%,Groundout: 3B-1B
t5,1-1,1,---,3(1-1) BCX,O,BOS,M. Bellhorn,B. Colon,-2%,45%,Lineout: 1B
t5,1-1,2,---,6(3-2) CBCBBX,O,BOS,M. Ramirez,B. Colon,-2%,43%,Groundout: 2B-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 1 Angels 1.,0 runs 0 hits 0 errors 0 LOB. Red Sox 1 Angels 1.,0 runs 0 hits 0 errors 0 LOB. Red Sox 1 Angels 1.
Bottom of the 5th Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 8-9-1,Bottom of the 5th Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 8-9-1,Bottom of the 5th Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 8-9-1,Bottom of the 5th Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 8-9-1,Bottom of the 5th Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 8-9-1,Bottom of the 5th Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 8-9-1,Bottom of the 5th Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 8-9-1,Bottom of the 5th Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 8-9-1,Bottom of the 5th Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 8-9-1,Bottom of the 5th Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 8-9-1,Bottom of the 5th Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 8-9-1,Bottom of the 5th Angels Batting Tied 1-1 Red Sox' Pedro Martinez facing 8-9-1
b5,1-1,0,---,3(1-1) BSX,,ANA,J. Molina,P. Martinez,-5%,39%,Single to LF (Fly Ball)
b5,1-1,0,1--,3(0-2) 11LLX,,ANA,D. Eckstein,P. Martinez,-7%,32%,Single to CF (Line Drive); Molina to 2B
b5,1-1,0,12-,1(0-0) X,O,ANA,C. Figgins,P. Martinez,7%,38%,Foul Bunt Popfly: 3B (3B Foul)
b5,1-1,1,12-,1(0-0) H,,ANA,D. Erstad,P. Martinez,-7%,31%,Hit By Pitch; Molina to 3B; Eckstein to 2B
b5,1-1,1,123,2(1-0) BX,RR,ANA,V. Guerrero,P. Martinez,-16%,15%,Single to RF (Line Drive); Molina Scores; Eckstein Scores; Erstad to 3B
b5,3-1,1,1-3,3(2-0) BBX,OO,ANA,G. Anderson,P. Martinez,8%,23%,Line Drive Double Play: 1B unassisted; Guerrero out at 1B/1B
,,,,,,,,,2 runs 3 hits 0 errors 1 LOB. Red Sox 1 Angels 3.,2 runs 3 hits 0 errors 1 LOB. Red Sox 1 Angels 3.,2 runs 3 hits 0 errors 1 LOB. Red Sox 1 Angels 3.
Top of the 6th Red Sox Batting Behind 1-3 Angels' Bartolo Colon facing 4-5-6,Top of the 6th Red Sox Batting Behind 1-3 Angels' Bartolo Colon facing 4-5-6,Top of the 6th Red Sox Batting Behind 1-3 Angels' Bartolo Colon facing 4-5-6,Top of the 6th Red Sox Batting Behind 1-3 Angels' Bartolo Colon facing 4-5-6,Top of the 6th Red Sox Batting Behind 1-3 Angels' Bartolo Colon facing 4-5-6,Top of the 6th Red Sox Batting Behind 1-3 Angels' Bartolo Colon facing 4-5-6,Top of the 6th Red Sox Batting Behind 1-3 Angels' Bartolo Colon facing 4-5-6,Top of the 6th Red Sox Batting Behind 1-3 Angels' Bartolo Colon facing 4-5-6,Top of the 6th Red Sox Batting Behind 1-3 Angels' Bartolo Colon facing 4-5-6,Top of the 6th Red Sox Batting Behind 1-3 Angels' Bartolo Colon facing 4-5-6,Top of the 6th Red Sox Batting Behind 1-3 Angels' Bartolo Colon facing 4-5-6,Top of the 6th Red Sox Batting Behind 1-3 Angels' Bartolo Colon facing 4-5-6
t6,1-3,0,---,4(1-2) BFFX,,BOS,D. Ortiz,B. Colon,5%,28%,Single to SS (Ground Ball)
t6,1-3,0,1--,4(2-1) BFBX,OO,BOS,T. Nixon,B. Colon,-11%,17%,Ground Ball Double Play: 2B-SS-1B
t6,1-3,2,---,6(3-2) BCBFBX,,BOS,K. Millar,B. Colon,2%,19%,Single to CF (Ground Ball)
t6,1-3,2,1--,1(0-0) X,RR,BOS,J. Varitek,B. Colon,25%,44%,Home Run (Fly Ball); Millar Scores
t6,3-3,2,---,4(1-2) CFBX,O,BOS,O. Cabrera,B. Colon,-2%,42%,Groundout: 3B-1B
,,,,,,,,,2 runs 3 hits 0 errors 0 LOB. Red Sox 3 Angels 3.,2 runs 3 hits 0 errors 0 LOB. Red Sox 3 Angels 3.,2 runs 3 hits 0 errors 0 LOB. Red Sox 3 Angels 3.
Bottom of the 6th Angels Batting Tied 3-3 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 6th Angels Batting Tied 3-3 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 6th Angels Batting Tied 3-3 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 6th Angels Batting Tied 3-3 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 6th Angels Batting Tied 3-3 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 6th Angels Batting Tied 3-3 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 6th Angels Batting Tied 3-3 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 6th Angels Batting Tied 3-3 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 6th Angels Batting Tied 3-3 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 6th Angels Batting Tied 3-3 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 6th Angels Batting Tied 3-3 Red Sox' Pedro Martinez facing 5-6-7,Bottom of the 6th Angels Batting Tied 3-3 Red Sox' Pedro Martinez facing 5-6-7
b6,3-3,0,---,3(1-1) BFX,O,ANA,T. Glaus,P. Martinez,3%,46%,Popfly: 1B
b6,3-3,1,---,7(3-2) SFBBFBX,O,ANA,J. DaVanon,P. Martinez,3%,48%,Groundout: 2B-1B
b6,3-3,2,---,4(1-2) CSBC,O,ANA,D. McPherson,P. Martinez,2%,50%,Strikeout Looking
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 3 Angels 3.,0 runs 0 hits 0 errors 0 LOB. Red Sox 3 Angels 3.,0 runs 0 hits 0 errors 0 LOB. Red Sox 3 Angels 3.
