Inn,Score,Out,RoB,Pit(cnt)Sequence,R/O,@Bat,Batter,Pitcher,wWPA,wWE,Play Description
Bottom of the 4th Yankees Batting Ahead 6-0 Red Sox' Curt Leskanic facing 9-1-2,Bottom of the 4th Yankees Batting Ahead 6-0 Red Sox' Curt Leskanic facing 9-1-2,Bottom of the 4th Yankees Batting Ahead 6-0 Red Sox' Curt Leskanic facing 9-1-2,Bottom of the 4th Yankees Batting Ahead 6-0 Red Sox' Curt Leskanic facing 9-1-2,Bottom of the 4th Yankees Batting Ahead 6-0 Red Sox' Curt Leskanic facing 9-1-2,Bottom of the 4th Yankees Batting Ahead 6-0 Red Sox' Curt Leskanic facing 9-1-2,Bottom of the 4th Yankees Batting Ahead 6-0 Red Sox' Curt Leskanic facing 9-1-2,Bottom of the 4th Yankees Batting Ahead 6-0 Red Sox' Curt Leskanic facing 9-1-2,Bottom of the 4th Yankees Batting Ahead 6-0 Red Sox' Curt Leskanic facing 9-1-2,Bottom of the 4th Yankees Batting Ahead 6-0 Red Sox' Curt Leskanic facing 9-1-2,Bottom of the 4th Yankees Batting Ahead 6-0 Red Sox' Curt Leskanic facing 9-1-2,Bottom of the 4th Yankees Batting Ahead 6-0 Red Sox' Curt Leskanic facing 9-1-2
,,,,,,,,,Curt Leskanic replaces Curt Schilling pitching,Curt Leskanic replaces Curt Schilling pitching,Curt Leskanic replaces Curt Schilling pitching
b4,6-0,0,---,8(3-2) .BBBCCFFB,,NYY,K. Lofton,C. Leskanic,0%,97%,Walk
b4,6-0,0,1--,6(3-2) 11L1BF*BB>B,,NYY,D. Jeter,C. Leskanic,1%,98%,Walk; Lofton to 2B
b4,6-0,0,12-,1(0-0) X,OO,NYY,A. Rodriguez,C. Leskanic,-1%,96%,Ground Ball Double Play: SS-2B-1B; Lofton to 3B
b4,6-0,2,--3,7(3-2) CBSFBBS,O,NYY,G. Sheffield,C. Leskanic,-1%,96%,Strikeout Swinging
,,,,,,,,,0 runs 0 hits 0 errors 1 LOB. Red Sox 0 Yankees 6.,0 runs 0 hits 0 errors 1 LOB. Red Sox 0 Yankees 6.,0 runs 0 hits 0 errors 1 LOB. Red Sox 0 Yankees 6.
Top of the 5th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 4-5-6,Top of the 5th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 4-5-6,Top of the 5th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 4-5-6,Top of the 5th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 4-5-6,Top of the 5th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 4-5-6,Top of the 5th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 4-5-6,Top of the 5th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 4-5-6,Top of the 5th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 4-5-6,Top of the 5th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 4-5-6,Top of the 5th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 4-5-6,Top of the 5th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 4-5-6,Top of the 5th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 4-5-6
t5,0-6,0,---,7(3-2) CBFBFBS,O,BOS,D. Ortiz,M. Mussina,1%,97%,Strikeout Swinging
t5,0-6,1,---,5(1-2) CFBFS,O,BOS,K. Millar,M. Mussina,1%,97%,Strikeout Swinging (C-1B)
t5,0-6,2,---,1(0-0) X,O,BOS,T. Nixon,M. Mussina,0%,98%,Groundout: P-1B
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Yankees 6.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Yankees 6.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Yankees 6.
Bottom of the 5th Yankees Batting Ahead 6-0 Red Sox' Ramiro Mendoza facing 4-5-6,Bottom of the 5th Yankees Batting Ahead 6-0 Red Sox' Ramiro Mendoza facing 4-5-6,Bottom of the 5th Yankees Batting Ahead 6-0 Red Sox' Ramiro Mendoza facing 4-5-6,Bottom of the 5th Yankees Batting Ahead 6-0 Red Sox' Ramiro Mendoza facing 4-5-6,Bottom of the 5th Yankees Batting Ahead 6-0 Red Sox' Ramiro Mendoza facing 4-5-6,Bottom of the 5th Yankees Batting Ahead 6-0 Red Sox' Ramiro Mendoza facing 4-5-6,Bottom of the 5th Yankees Batting Ahead 6-0 Red Sox' Ramiro Mendoza facing 4-5-6,Bottom of the 5th Yankees Batting Ahead 6-0 Red Sox' Ramiro Mendoza facing 4-5-6,Bottom of the 5th Yankees Batting Ahead 6-0 Red Sox' Ramiro Mendoza facing 4-5-6,Bottom of the 5th Yankees Batting Ahead 6-0 Red Sox' Ramiro Mendoza facing 4-5-6,Bottom of the 5th Yankees Batting Ahead 6-0 Red Sox' Ramiro Mendoza facing 4-5-6,Bottom of the 5th Yankees Batting Ahead 6-0 Red Sox' Ramiro Mendoza facing 4-5-6
,,,,,,,,,Ramiro Mendoza replaces Curt Leskanic pitching,Ramiro Mendoza replaces Curt Leskanic pitching,Ramiro Mendoza replaces Curt Leskanic pitching
b5,6-0,0,---,1(0-0) .X,O,NYY,H. Matsui,R. Mendoza,-0%,97%,Flyball: LF
b5,6-0,1,---,5(3-1) BBSBX,O,NYY,B. Williams,R. Mendoza,-0%,97%,Groundout: 2B-1B
b5,6-0,2,---,2(0-1) CH,,NYY,J. Posada,R. Mendoza,0%,97%,Hit By Pitch
b5,6-0,2,1--,3(2-0) B*BX,,NYY,J. Olerud,R. Mendoza,0%,98%,Single to LF (Fly Ball); Posada to 3B
b5,6-0,2,1-3,6(3-2) BBFBS>X,O,NYY,M. Cairo,R. Mendoza,-1%,97%,Lineout: SS
,,,,,,,,,0 runs 1 hit 0 errors 2 LOB. Red Sox 0 Yankees 6.,0 runs 1 hit 0 errors 2 LOB. Red Sox 0 Yankees 6.,0 runs 1 hit 0 errors 2 LOB. Red Sox 0 Yankees 6.
Top of the 6th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 7-8-9,Top of the 6th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 7-8-9,Top of the 6th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 7-8-9,Top of the 6th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 7-8-9,Top of the 6th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 7-8-9,Top of the 6th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 7-8-9,Top of the 6th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 7-8-9,Top of the 6th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 7-8-9,Top of the 6th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 7-8-9,Top of the 6th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 7-8-9,Top of the 6th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 7-8-9,Top of the 6th Red Sox Batting Behind 0-6 Yankees' Mike Mussina facing 7-8-9
t6,0-6,0,---,4(1-2) CFBS,O,BOS,J. Varitek,M. Mussina,1%,98%,Strikeout Swinging
t6,0-6,1,---,4(2-1) BBCX,O,BOS,O. Cabrera,M. Mussina,0%,98%,Flyball: RF
t6,0-6,2,---,7(3-2) BCFBBFX,O,BOS,B. Mueller,M. Mussina,0%,98%,Flyball: LF
,,,,,,,,,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Yankees 6.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Yankees 6.,0 runs 0 hits 0 errors 0 LOB. Red Sox 0 Yankees 6.
